"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14500,"Mia@LAD 10:10PM ET",26.530,"LAD"
"SP","Chris Sale",11700,"CWS@Bal 07:05PM ET",28.860,"CWS"
"SP","Jose Fernandez",11400,"Mia@LAD 10:10PM ET",19.750,"Mia"
"SP","David Price",11300,"Atl@Bos 07:10PM ET",21.630,"Bos"
"SP","Kenta Maeda",10000,"Mia@LAD 10:10PM ET",24.800,"LAD"
"SP","Zack Greinke",9000,"StL@Ari 09:40PM ET",9.333,"Ari"
"SP","Carlos Martinez",9000,"StL@Ari 09:40PM ET",23.000,"StL"
"SP","Hyun-Jin Ryu",8900,"Mia@LAD 10:10PM ET",0,"LAD"
"SP","Scott Kazmir",8500,"Mia@LAD 10:10PM ET",9.610,"LAD"
"SP","Wei-Yin Chen",8500,"Mia@LAD 10:10PM ET",14.713,"Mia"
"SP","Rick Porcello",8300,"Atl@Bos 07:10PM ET",24.538,"Bos"
"SP","Michael Wacha",8300,"StL@Ari 09:40PM ET",13.613,"StL"
"SP","Brandon McCarthy",8200,"Mia@LAD 10:10PM ET",0,"LAD"
"SP","Jaime Garcia",8200,"StL@Ari 09:40PM ET",21.963,"StL"
"SP","Adam Wainwright",8000,"StL@Ari 09:40PM ET",4.290,"StL"
"SP","Clay Buchholz",8000,"Atl@Bos 07:10PM ET",7.900,"Bos"
"SP","Jose Quintana",7900,"CWS@Bal 07:05PM ET",22.920,"CWS"
"SP","Carlos Rodon",7800,"CWS@Bal 07:05PM ET",13.550,"CWS"
"SP","Patrick Corbin",7500,"StL@Ari 09:40PM ET",8.683,"Ari"
"SP","Eduardo Rodriguez",7300,"Atl@Bos 07:10PM ET",0,"Bos"
"SP","Shelby Miller",7200,"StL@Ari 09:40PM ET",2.575,"Ari"
"SP","Robbie Ray",7200,"StL@Ari 09:40PM ET",14.100,"Ari"
"SP","Kevin Gausman",7100,"CWS@Bal 07:05PM ET",19.650,"Bal"
"SP","Henry Owens",7100,"Atl@Bos 07:10PM ET",4.100,"Bos"
"SP","Ubaldo Jimenez",7000,"CWS@Bal 07:05PM ET",16.538,"Bal"
"SP","Brett Anderson",6900,"Mia@LAD 10:10PM ET",0,"LAD"
"SP","Julio Teheran",6600,"Atl@Bos 07:10PM ET",12.400,"Atl"
"SP","Tom Koehler",6600,"Mia@LAD 10:10PM ET",10.500,"Mia"
"SP","Adam Conley",6600,"Mia@LAD 10:10PM ET",11.525,"Mia"
"SP","Mike Leake",6500,"StL@Ari 09:40PM ET",8.363,"StL"
"SP","Rubby De La Rosa",6500,"StL@Ari 09:40PM ET",7.317,"Ari"
"SP","Mat Latos",6400,"CWS@Bal 07:05PM ET",20.038,"CWS"
"SP","Chris Tillman",6300,"CWS@Bal 07:05PM ET",15.490,"Bal"
"SP","Alex Wood",6200,"Mia@LAD 10:10PM ET",5.963,"LAD"
"SP","Jhoulys Chacin",6100,"Atl@Bos 07:10PM ET",17.817,"Atl"
"SP","Yovani Gallardo",6000,"CWS@Bal 07:05PM ET",4.125,"Bal"
"SP","Mike Bolsinger",6000,"Mia@LAD 10:10PM ET",0,"LAD"
"SP","Bud Norris",5900,"Atl@Bos 07:10PM ET",3.600,"Atl"
"SP","Jarred Cosart",5900,"Mia@LAD 10:10PM ET",1.467,"Mia"
"SP","Steven Wright",5600,"Atl@Bos 07:10PM ET",22.363,"Bos"
"SP","Joe Kelly",5600,"Atl@Bos 07:10PM ET",4.167,"Bos"
"SP","Aaron Blair",5600,"Atl@Bos 07:10PM ET",3.200,"Atl"
"SP","Erik Johnson",5600,"CWS@Bal 07:05PM ET",0,"CWS"
"SP","Archie Bradley",5600,"StL@Ari 09:40PM ET",-2.850,"Ari"
"SP","John Danks",5500,"CWS@Bal 07:05PM ET",7.400,"CWS"
"SP","Miguel Gonzalez",5500,"CWS@Bal 07:05PM ET",6.200,"CWS"
"RP","David Phelps",5300,"Mia@LAD 10:10PM ET",5.545,"Mia"
"SP","Roenis Elias",5300,"Atl@Bos 07:10PM ET",-3.850,"Bos"
"SP","Brandon Workman",5200,"Atl@Bos 07:10PM ET",0,"Bos"
"OF","Mookie Betts",5200,"Atl@Bos 07:10PM ET",10.524,"Bos"
"SP","Ross Stripling",5200,"Mia@LAD 10:10PM ET",12.213,"LAD"
"SP","Matt Wisler",5200,"Atl@Bos 07:10PM ET",10.720,"Atl"
"1B","Paul Goldschmidt",5100,"StL@Ari 09:40PM ET",10.045,"Ari"
